invoice_id,purchase_order_id,invoice_number,invoice_amount,invoice_date
1,43,7219,24730.94,10/1/2025
2,1,02235,5432.75,4/12/2023
3,30,813,33369.64,3/24/2024
4,50,4,25817.37,7/24/2024
5,5,6691,34356.31,8/31/2023
6,14,56,31008.26,7/12/2023
7,50,0,4682.74,7/10/2024
8,4,0965,49186.15,3/25/2023
9,9,5,28466.3,1/1/2023
10,41,9,37131.87,6/5/2024
11,47,61,42346.4,5/26/2024
12,9,6453,28206.2,2/15/2026
13,19,5534,19055.44,7/17/2023
14,40,7159,2238.16,6/12/2025
15,47,04376,33370.67,1/10/2024
16,5,79353,32961.95,10/29/2025
17,3,1,43452.43,2/23/2026
18,2,44117,10557.63,1/18/2026
19,3,57,32010.23,9/5/2024
20,33,6,15473.15,9/17/2025
21,16,7,44945.21,12/1/2023
22,20,19,43412.88,8/13/2023
23,38,72,3543.7,1/19/2024
24,39,543,24263.49,5/21/2026
25,46,21852,26071.94,8/8/2024
26,47,16072,42425.95,7/17/2024
27,42,184,14360.54,3/20/2025
28,19,80,33983.48,10/31/2025
29,32,217,6800.18,10/27/2024
30,7,27870,40875.16,5/7/2024
31,17,8640,46386.41,10/10/2025
32,18,79893,39610.83,4/26/2026
33,43,830,14399.71,6/6/2024
34,10,10,15864.68,12/3/2025
35,46,1161,1211.53,3/24/2023
36,4,99564,40819.2,2/24/2026
37,45,0842,27900.54,5/24/2024
38,38,6208,31812.75,6/13/2025
39,47,34667,18892.12,8/21/2024
40,49,81072,49393.91,7/28/2023
41,47,28003,30198.51,4/7/2024
42,37,9917,4654.29,11/12/2024
43,46,636,36893.25,9/6/2025
44,44,263,42892.85,1/10/2023
45,9,473,11091.97,12/24/2024
46,30,64449,8832.77,2/15/2026
47,11,52925,26057.76,11/13/2023
48,13,1,10673.6,10/14/2025
49,50,08,27675.61,5/5/2025
50,14,50781,16290.51,9/17/2025
51,16,13,41272.43,10/24/2023
52,3,352,26447.93,6/19/2024
53,16,34,36872.83,1/14/2025
54,14,8087,18817.54,8/8/2025
55,26,6,18263.15,11/3/2024
56,26,77,44422.41,11/8/2024
57,5,865,45493.4,11/20/2023
58,22,70352,20872.37,3/19/2024
59,34,02821,11297.29,1/10/2025
60,32,1,14004.85,1/29/2025
61,24,180,35277.46,12/10/2025
62,47,44975,44159.3,3/4/2024
63,28,8925,14827.03,1/14/2025
64,15,6,11148.94,9/15/2023
65,35,476,30648.42,12/25/2023
66,2,849,44781.45,4/4/2026
67,42,15728,20325.89,2/10/2023
68,33,97,12273.84,11/16/2024
69,36,59455,11412.23,6/3/2024
70,24,24145,35791.97,2/7/2025
71,17,6,27046.53,1/13/2023
72,5,17703,24665.96,12/30/2024
73,46,35,12015.56,10/4/2023
74,21,77811,49587.25,1/17/2026
75,37,5,25711.21,1/24/2026
76,39,51,48334.67,12/24/2023
77,36,62,21587.34,12/2/2023
78,8,81,15558.35,11/12/2024
79,16,1254,46743.64,3/29/2024
80,16,11,11440.86,7/18/2024
81,7,2,25867.86,5/2/2026
82,41,1481,37018.88,1/3/2025
83,48,2700,24900.36,3/1/2023
84,36,2,40458.84,10/15/2023
85,22,521,6272.63,6/12/2023
86,36,80,16606.98,5/13/2024
87,3,93515,40893.54,11/20/2024
88,4,55747,18864.69,3/22/2026
89,39,770,21817.67,2/12/2025
90,35,98,13374.57,4/6/2023
91,20,50,28463.32,4/13/2026
92,12,948,42857.18,5/9/2024
93,43,32684,22720.32,1/26/2024
94,14,5,44766.86,11/27/2024
95,34,9761,28435.46,5/28/2023
96,29,321,35449.22,2/19/2024
97,5,6,48188.05,4/6/2024
98,4,869,22723.74,3/31/2023
99,35,03015,36598.11,3/4/2023
100,35,95,47006.05,4/26/2025
101,17,31810,33032.63,3/3/2026
102,26,0121,40981.13,9/9/2024
103,46,1264,12091.05,9/16/2023
104,50,625,22817.73,9/6/2023
105,30,126,29968.96,5/19/2024
106,37,943,11418.35,4/26/2026
107,9,12128,2562.55,2/7/2026
108,21,6087,30216.81,9/8/2023
109,17,040,47876.18,5/26/2024
110,8,43555,42474.91,6/27/2024
111,46,8,41268.13,3/18/2023
112,8,12467,16508.88,11/27/2025
113,27,6402,43113.57,2/12/2025
114,7,107,1935.89,10/8/2025
115,35,34,28009.31,10/15/2024
116,1,9,22112.49,1/2/2026
117,4,7,43041.38,2/6/2026
118,7,4,25478.5,5/13/2025
119,38,72,14820.83,10/21/2024
120,40,49,45855.68,7/13/2025
121,3,88,5245.47,7/10/2023
122,19,64,41417.04,11/3/2024
123,50,32,25916.53,10/3/2023
124,26,0,21068.95,1/10/2023
125,31,4803,20767.81,5/9/2023
126,2,014,10078.36,2/25/2023
127,29,520,40667.32,5/7/2026
128,32,534,9426.76,9/18/2024
129,31,0,6463.04,1/24/2025
130,11,8,49784.18,2/8/2025
131,42,71223,43007.66,2/11/2024
132,11,5534,28365.05,11/7/2023
133,43,53,39504.17,6/8/2025
134,7,6,18015.31,1/2/2025
135,30,4982,17848.04,9/4/2023
136,28,22,20216.46,4/15/2025
137,30,59,37375.03,1/25/2023
138,35,3,8973.46,10/24/2025
139,25,5218,43712.6,7/7/2024
140,47,016,10579.57,1/18/2024
141,47,418,7454.75,1/16/2026
142,40,15556,7899.25,2/23/2024
143,16,65,12241.58,1/16/2023
144,22,854,14354.82,2/11/2026
145,2,3953,46908.36,2/15/2024
146,29,7,3455.3,1/29/2023
147,16,850,26082.64,9/3/2024
148,19,79,43276.46,3/2/2023
149,25,05,36185.68,4/17/2025
150,40,4,1235.2,8/6/2025
151,21,3926,7321.64,7/22/2024
152,46,315,32111.89,8/1/2024
153,14,4,22675.23,2/12/2025
154,21,85988,15278.65,2/28/2024
155,8,598,9321.31,1/4/2024
156,17,9,31765.46,3/2/2026
157,21,555,1882.05,10/10/2024
158,5,3181,43225.11,6/25/2023
159,19,49491,6528.11,11/8/2025
160,12,77,3550.67,2/3/2024
161,32,7,49221.77,4/1/2024
162,1,28449,26955.87,11/17/2025
163,27,98821,30589.32,3/4/2023
164,7,2,29544.38,3/19/2025
165,10,62,15913.41,4/18/2025
166,44,9752,40922.12,1/1/2024
167,49,9,35889.25,6/4/2023
168,49,9,42381.69,10/23/2025
169,49,94690,46330.2,6/10/2025
170,10,4156,29937.51,1/29/2023
171,43,672,33064.81,8/23/2023
172,47,77846,12509.21,7/9/2023
173,24,5,24777.95,3/23/2023
174,50,947,47907.14,12/23/2024
175,20,97,1138.4,10/3/2025
176,48,2,2904.64,11/8/2023
177,49,90,2315.04,12/28/2023
178,21,81855,24518.47,5/3/2025
179,21,5,23629.72,11/6/2024
180,41,5,21797.76,6/16/2025
181,41,9327,38423.94,1/10/2026
182,42,7,40094.97,11/17/2023
183,27,2,8526.86,4/14/2023
184,32,7,43013.73,7/27/2025
185,11,180,48658.8,4/3/2026
186,45,77301,5516.97,8/15/2024
187,38,094,7614.23,12/20/2024
188,7,1,43979.62,7/6/2023
189,24,25,32140.84,4/4/2026
190,3,611,26618.45,4/4/2025
191,10,1,49930.14,5/3/2026
192,18,54,9065.54,10/30/2025
193,2,9211,48453.32,5/16/2024
194,30,5,35039.96,9/30/2025
195,19,74,41044.23,9/29/2023
196,39,8914,1090.33,7/16/2025
197,49,88,34383.62,4/18/2026
198,41,1797,25901.22,3/25/2025
199,3,6,22379.54,3/11/2024
200,40,48331,12867.91,3/27/2026
201,40,41,36721.47,1/26/2023
202,20,3149,4394.12,11/30/2025
203,50,1212,35093.46,9/18/2024
204,40,0,31888.81,2/17/2025
205,11,5,31439.49,2/14/2026
206,10,78,41258.66,3/8/2025
207,10,5230,21849.16,8/2/2025
208,36,566,37466.62,4/28/2024
209,31,9740,14606.82,5/18/2023
210,50,765,41719.62,3/7/2024
211,50,89606,42126.92,2/23/2023
212,28,5,34152.61,11/1/2025
213,13,3057,17165.68,10/21/2025
214,36,75423,48479.36,10/29/2025
215,20,4,45137.46,12/28/2024
216,39,7960,21243.68,6/7/2024
217,37,79,31601.52,2/3/2023
218,37,341,26912.41,2/20/2024
219,38,2,42072.54,7/30/2023
220,9,4,25951.35,8/3/2024
221,13,7597,25064.42,10/7/2023
222,26,61,16071.97,6/12/2024
223,12,4344,17837.98,12/17/2025
224,24,1,48022.14,9/29/2023
225,19,44,15470.98,4/5/2025
226,40,621,32226.18,8/30/2023
227,22,4,4759.65,1/28/2023
228,17,50217,28249.43,4/14/2025
229,12,1,24087.42,4/20/2025
230,7,66,44196.87,2/22/2024
231,22,45,10696.13,9/29/2025
232,1,82,25025.98,7/13/2024
233,34,95768,13088.95,12/11/2023
234,30,594,3495.06,1/16/2024
235,25,7,22261.79,2/20/2023
236,22,27,35959.23,10/18/2025
237,18,3908,14453.82,10/7/2024
238,13,387,3975.1,9/23/2023
239,7,48896,42816.62,5/5/2026
240,1,3,22274.34,7/27/2023
241,48,5,26504.08,5/5/2024
242,6,4,4987.7,9/21/2024
243,40,71482,19991.24,1/25/2026
244,39,591,36655.08,11/17/2023
245,4,187,17985.18,2/15/2025
246,5,9010,31902.63,12/16/2024
247,9,0584,36911.94,1/5/2026
248,25,9,42623.54,1/21/2023
249,48,10,44972.64,7/16/2025
250,12,401,12816.14,2/3/2026
251,18,81,10512.46,11/25/2025
252,39,0,1017.75,11/10/2025
253,7,1411,47987.74,11/16/2025
254,49,906,22407.56,6/3/2024
255,8,7,22769.42,2/11/2026
256,30,330,12584.59,5/13/2024
257,30,691,44184.06,5/16/2025
258,1,793,21191.63,1/27/2026
259,40,92565,14322.37,2/6/2023
260,18,787,24761.29,12/26/2024
261,12,83797,11199.66,3/2/2023
262,40,39101,7713.71,2/25/2023
263,6,55425,33542.9,4/4/2024
264,49,2361,49691.92,8/22/2025
265,45,6,7628.85,10/2/2024
266,26,780,29473.67,8/4/2025
267,14,08527,42373.86,5/31/2025
268,42,39,8866.79,3/19/2024
269,18,63,10208.69,4/3/2025
270,46,57,30701.72,9/30/2024
271,49,1,39072.35,6/14/2025
272,21,2,42440.79,3/26/2024
273,29,76925,17649.74,8/17/2025
274,34,81276,11097.55,6/28/2024
275,35,8,39126.26,9/9/2023
276,28,19611,3538.46,2/4/2023
277,28,252,31570.69,9/7/2023
278,5,6190,4753.36,4/18/2025
279,23,952,23922.86,3/16/2025
280,42,108,45430.8,8/25/2024
281,5,7,11242.52,1/31/2023
282,42,882,41416.9,9/26/2024
283,38,685,24501.35,10/30/2023
284,33,6439,18030.12,8/16/2024
285,16,55,18516.91,12/29/2025
286,49,98068,18356.54,3/2/2026
287,32,06,24352.2,12/16/2025
288,43,39124,28906.97,4/13/2023
289,14,11,11476.22,4/17/2025
290,44,4892,16297.19,2/13/2023
291,48,5003,47175.06,10/2/2023
292,36,22,40000.77,1/17/2024
293,47,58122,47336.39,11/23/2023
294,45,5251,24522.86,5/20/2026
295,32,66,8644.04,4/11/2025
