purchase_order_id,company_name,purchase_order_amount,purchase_order_date
1,Quinu,206721.04,4/16/2023
2,Realfire,241894.67,10/13/2024
3,Jayo,233518.95,3/17/2024
4,Feedmix,396220.76,6/1/2025
5,Podcat,494788.29,8/17/2024
6,Oyondu,446309.84,9/25/2023
7,Rhyloo,16111.95,1/25/2025
8,Edgewire,251077.63,2/26/2026
9,Tagcat,293231.34,3/2/2024
10,Blognation,239214.38,7/3/2024
11,Pixope,497303.76,10/12/2024
12,Livetube,252088.0,8/4/2024
13,Divanoodle,43901.97,4/14/2025
14,Quaxo,321461.91,3/23/2025
15,Oyondu,424166.59,3/14/2026
16,Mita,95334.06,2/16/2026
17,Ntags,71510.27,11/18/2024
18,Skiptube,46019.45,9/27/2023
19,Vipe,347687.81,3/2/2026
20,Oyoloo,295436.61,7/2/2024
21,Dynava,382657.07,11/25/2025
22,Gabtune,358921.09,11/4/2024
23,Kwideo,29482.99,9/29/2024
24,Dablist,18897.14,4/24/2023
25,Photobug,310227.44,4/26/2024
26,Voonyx,165960.6,3/17/2026
27,Abata,63348.76,8/9/2025
28,Buzzshare,37800.5,3/21/2024
29,Bluejam,370109.39,10/31/2025
30,Kamba,309026.93,11/20/2023
31,Miboo,197478.72,8/15/2024
32,Tagpad,94379.77,2/8/2026
33,Kwimbee,55279.38,1/20/2024
34,Divape,161586.05,3/24/2024
35,Skilith,196580.53,1/2/2025
36,Livetube,280347.59,3/23/2025
37,Yozio,250651.53,1/3/2026
38,Voonyx,218717.6,10/21/2025
39,Aimbu,470864.19,10/10/2024
40,Browsedrive,463258.35,6/3/2025
41,Kare,20837.17,3/26/2025
42,Yakidoo,396910.99,3/1/2024
43,Demimbu,297431.0,7/18/2025
44,Linklinks,285744.95,10/25/2025
45,Skajo,166767.42,6/25/2023
46,Oyope,314847.2,5/30/2024
47,Devshare,173969.24,5/21/2026
48,Zoomlounge,229127.45,1/22/2025
49,Agimba,470629.33,1/7/2023
50,Lazzy,35575.37,9/2/2025
51,Zooveo,356397.75,5/19/2025
52,Skyble,354229.15,4/9/2025
53,Thoughtmix,26362.35,6/3/2024
54,Quatz,36539.39,1/7/2026
55,Skidoo,487358.92,10/28/2025
56,Photofeed,424207.01,3/2/2024
57,Divape,63185.45,8/18/2024
58,Realblab,234521.07,12/5/2024
59,Avavee,403043.77,3/8/2023
60,Youtags,31904.68,7/18/2025
61,Zoomlounge,400562.53,3/15/2025
62,Skalith,95086.86,3/13/2026
63,Dynabox,201431.44,9/3/2023
64,Yakidoo,455639.08,6/17/2023
65,Jabbersphere,77170.91,3/15/2023
66,Minyx,272936.32,5/3/2025
67,Camimbo,258287.03,4/8/2025
68,Livetube,349777.18,4/1/2025
69,Muxo,497567.85,1/24/2025
70,Photofeed,456271.55,3/19/2025
71,Skiptube,468997.0,7/13/2023
72,Shuffletag,97898.51,4/2/2025
73,Thoughtworks,309382.57,6/30/2023
74,Meeveo,188250.42,11/28/2024
75,Edgepulse,402649.6,6/28/2025
76,Divape,334153.96,9/20/2024
77,Divavu,366906.69,2/20/2023
78,Talane,353250.79,9/8/2023
79,Viva,367071.76,6/16/2025
80,Thoughtmix,304370.82,3/18/2024
81,Cogibox,71790.16,2/27/2023
